workerid,proliferate.condition,order,response,slide_number_in_experiment,tgrep_id,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
12,condition1,the-some-all-a,"['some', True]",4,example2,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['all', False]",5,example1,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",6,example4,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",8,102105:4,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",9,61578:4,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['a', False]",10,37508:7,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['a', False]",11,40349:14,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",12,68569:4,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",13,103191:13,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",14,51293:9,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",15,60430:4,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",16,130644:22,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
12,condition1,the-some-all-a,"['the', False]",17,118088:9,[],55,Yes,I have none at this time.,3,1,0,Female,English ,Safari,iPhone/iPod,736,414,19.649,
7,condition1,,"['Yes it is a nice day out', 'Linda']",1,bot_check,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,,"['Linda', 'Linda']",1,bot_check,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['some', False]",3,example1,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['all', False]",3,example1,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['the', False]",4,example2,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['a', False]",4,example2,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['all', False]",5,example1,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['the', False]",6,example4,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['all', False]",8,68569:4,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['some', False]",9,60430:4,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['the', False]",10,51293:9,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['the', False]",11,130644:22,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['a', False]",12,37508:7,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['some', False]",13,118088:9,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['some', False]",14,61578:4,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['some', True]",15,103191:13,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['a', False]",16,40349:14,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
7,condition1,some-a-the-all,"['all', False]",17,102105:4,[],25,Yes,,3,1,1,Male,English,Chrome,Windows,864,1536,4.74245,
15,condition1,,"['Barbara', 'Barbara']",1,bot_check,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['a', False]",3,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['a', False]",3,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['some', False]",3,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['some', False]",3,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', False]",3,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['all', False]",3,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['some', False]",4,example2,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['all', False]",5,example1,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', False]",6,example4,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', False]",8,37508:7,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', False]",9,51293:9,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', False]",10,118088:9,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['a', False]",11,102105:4,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['some', False]",12,68569:4,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['some', False]",13,103191:13,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', False]",14,61578:4,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['the', True]",15,40349:14,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['some', False]",16,60430:4,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
15,condition1,the-some-a-all,"['a', False]",17,130644:22,[],,Yes,,-1,-1,-1,,,Chrome,Windows,864,1536,7.434966666666667,
11,condition1,,"['Elizabeth', 'Elizabeth']",1,bot_check,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",3,example1,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['all', False]",3,example1,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['a', False]",4,example2,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['some', False]",5,example1,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['all', False]",5,example1,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",6,example4,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",8,40349:14,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",9,68569:4,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",10,51293:9,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['all', False]",11,61578:4,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",12,37508:7,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['a', False]",13,60430:4,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['the', False]",14,130644:22,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['a', False]",15,118088:9,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['some', True]",16,103191:13,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
11,condition1,a-the-all-some,"['a', False]",17,102105:4,[],23,Yes,,3,1,1,Female,Chinese,Chrome,Mac,900,1600,2.74785,
3,condition1,,"['dfg', 'Barbara']",1,bot_check,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,,"['barbara', 'Barbara']",1,bot_check,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['all', False]",3,example1,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['a', False]",4,example2,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['all', False]",5,example1,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['a', False]",6,example4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['some', False]",8,40349:14,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['all', True]",9,37508:7,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['a', False]",10,60430:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['all', False]",11,51293:9,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['a', False]",12,68569:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['the', False]",13,102105:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['the', False]",14,103191:13,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['the', False]",15,61578:4,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['all', False]",16,118088:9,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
3,condition1,all-some-a-the,"['some', False]",17,130644:22,[],,,,-1,-1,-1,,,Firefox,Mac,1080,1920,0.7459166666666667,
27,condition1,,"['Linda', 'Linda']",1,bot_check,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['all', False]",3,example1,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['a', False]",4,example2,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['all', False]",5,example1,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",6,example4,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['a', False]",8,68569:4,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",9,37508:7,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",10,118088:9,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",11,51293:9,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['a', False]",12,130644:22,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",13,61578:4,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['all', False]",14,103191:13,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['some', False]",15,60430:4,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",16,102105:4,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
27,condition1,all-the-some-a,"['the', False]",17,40349:14,[],28,Yes,Some of these I wanted an option for an any rather than an every. ,4,1,1,Male,English,Chrome,Linux,786,393,8.3676,
6,condition1,,"['Jessica', 'Jessica']",1,bot_check,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['a', False]",3,example1,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['a', False]",3,example1,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['a', False]",3,example1,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['a', False]",3,example1,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['all', False]",3,example1,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['some', False]",4,example2,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['all', False]",5,example1,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['the', False]",6,example4,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['some', False]",8,40349:14,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['a', False]",9,60430:4,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['the', False]",10,51293:9,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
6,condition1,a-the-all-some,"['the', False]",11,61578:4,[],18,Yes,The dialogues seemed very incomplete,2,1,0,Female,English,Safari,iPhone/iPod,667,375,5.239716666666666,
