Item_ID,Sentence,HaveNeedTo,Finite,ModalPresent,QuestionType,DegreeQ,SubjectAuxInv,WhAll,WhAdvP,MatrixNegPresent,EmbeddedNegPresent,SbarNomPresent,QuantifiedSubject,QuantifiedPredicate,Wh,MatrixSubject,MatrixNegation,InvertedAuxVerb,MatrixPredAux,MatrixPredVerb,MatrixPredOther,MatrixPredParticle,MatrixPred2,Modal,EmbeddedSubject,EmbeddedNegation,Verb1,Verb2,Verb3,DeterminerSubject,DeterminerNonSubject,FullWhPhrase,JustMatrixClause,DeterminerSubjPresent,DeterminerNonSubjPresent,WhNode,WhParse,Question,SentenceParse,WhPhaseType,IdentityQ
156071:71,"i mean, i heard on the radio back a, a few weeks ago, uh, during the incidents where they were, you know, like they aren't paying their, their restaurant bills and they're bouncing checks all over the place *t*-1",no,yes,no,embedded,no,,,yes,yes,yes,,,all,where,i,n't,,,heard,,,,,,n't,were,know,are,,the place,,"i mean, i heard on the radio back a, a few weeks ago, uh, during the incidents where they were, you know, like they aren't paying their, their restaurant bills and they're bouncing checks all over the place *t*-1",no,no,,(WRB where),"where they were, you know, like they aren't paying their, their restaurant bills and they're bouncing checks all over the place *t*-1","(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (NP-SBJ (PRP I)) (VP (VBD heard) (PP (IN on) (NP (DT the) (NN radio))) (ADVP (RB back) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ few) (NNS weeks)) (RB ago)) (, ,) (INTJ (UH uh)) (, ,) (PP-TMP (IN during) (NP (DT the) (NNS incidents))) (SBAR (WHADVP-1 (WRB where)) (S (S (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP they)) (VP-UNF (VBD were))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (INTJ (UH like)) (NP-SBJ (PRP they)) (VP (VBP are) (RB n't) (RS (-DFL- \])) (VP (VBG paying) (EDITED (RM (-DFL- \[)) (NP-UNF (PRP$ their)) (, ,) (IP (-DFL- \+))) (NP (PRP$ their) (RS (-DFL- \])) (NN restaurant) (NNS bills))))) (-DFL- E_S) (CC and) (S (NP-SBJ (PRP they)) (VP (VBP 're) (VP (VBG bouncing) (NP (NNS checks)) (PP-LOC (RB all) (IN over) (NP (DT the) (NN place)))))) (ADVP (-NONE- *T*-1))))) (-DFL- E_S)))",monomorphemic,no
5323:36,"i guess, uh, 0 i don't even know why i watched c n n *t*-1.",no,yes,no,embedded,no,,,yes,yes,,,,,why,i,n't,,do,know,,,,,i,,watched,,,,,,i don't even know why i watched c n n *t*-1,no,no,,(WRB why),why i watched c n n *t*-1,"(TOP (S (NP-SBJ (PRP I)) (VP (VBP guess) (, ,) (INTJ (UH uh)) (, ,) (SBAR (-NONE- 0) (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (ADVP (RB even)) (VP (VB know) (SBAR (WHADVP-1 (WRB why)) (S (NP-SBJ (PRP I)) (VP (VBD watched) (NP (NNP C) (NNP N) (NNP N)) (ADVP-PRP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))",monomorphemic,no
49373:19,"i was reading just recently where the typical administrator in the, montgomery county public schools makes,",no,yes,no,embedded,no,,,yes,,,,,,where,i,,,was,reading,,,,,"the typical administrator in the, montgomery county public schools",,makes,,,"the typical administrator in the, montgomery county public schools","the typical administrator in the, montgomery county public schools",,"i was reading just recently where the typical administrator in the, montgomery county public schools makes,",yes,yes,,(WRB where),"where the typical administrator in the, montgomery county public schools makes","(TOP (S (NP-SBJ (PRP I)) (VP (VBD was) (VP (VBG reading) (ADVP-TMP (RB just) (RB recently)) (SBAR (WHADVP (WRB where)) (S (NP-SBJ (NP (DT the) (JJ typical) (NN administrator)) (PP-LOC (IN in) (NP (DT the) (, ,) (NNP Montgomery) (NNP County) (NNP Public) (NNPS Schools)))) (VP-UNF (VBZ makes)))))) (, ,) (-DFL- N_S)))",monomorphemic,no
54138:21,"um, i don't know what we're going *-1 to do *t*-2 about it,",no,yes,no,embedded,no,,,,yes,,,,,what,i,n't,,do,know,,,,,we,,'re,going,do,,,,"um, i don't know what we're going *-1 to do *t*-2 about it,",no,no,,(WP what),what we're going *-1 to do *t*-2 about it,"(TOP (S (INTJ (UH Um)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP we)) (VP (VBP 're) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-2)) (PP (IN about) (NP (PRP it)))))))))))) (, ,) (-DFL- E_S)))",monomorphemic,no
70469:14,* tell me how yours works *t*-1.,no,yes,no,embedded,no,,,yes,,,,,,how,*,,,,tell,,,,,yours,,,,,,,,* tell me how yours works *t*-1.,no,no,,(WRB how),how yours works *t*-1,(TOP (S-IMP (NP-SBJ (-NONE- *)) (VP (VB Tell) (NP (PRP me)) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP yours)) (VP (NNS works) (ADVP-MNR (-NONE- *T*-1)))))) (. .) (-DFL- E_S))),monomorphemic,no
155873:40,and my instructor thrives on that because he can just tell me what he wants *t*-1,no,yes,no,embedded,no,,,,,,,,,what,he,,,can,tell,,,,,he,,wants,,,,,,he can just tell me what he wants *t*-1,no,no,,(WP what),what he wants *t*-1,(TOP (S (CC and) (NP-SBJ (PRP$ my) (NN instructor)) (VP (VBZ thrives) (PP (IN on) (NP (DT that))) (SBAR-PRP (IN because) (S (NP-SBJ (PRP he)) (VP (MD can) (ADVP (RB just)) (VP (VB tell) (NP (PRP me)) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP he)) (VP (VBZ wants) (NP (-NONE- *T*-1)))))))))) (-DFL- E_S))),monomorphemic,no
147794:14,"if you knew what you were getting *t*-1 when you voted *t*-2, uh,",no,yes,no,embedded,no,,,,,,,,,what,you,,,,knew,,,,,you,,were,getting,voted,,,,"you knew what you were getting *t*-1 when you voted *t*-2, uh",no,no,,(WP what),what you were getting *t*-1 when you voted *t*-2,"(TOP (SBAR-ADV (IN If) (S (NP-SBJ (PRP you)) (VP (VBD knew) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBD were) (VP (VBG getting) (NP (-NONE- *T*-1)) (SBAR-TMP (WHADVP-2 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBD voted) (ADVP-TMP (-NONE- *T*-2))))))))) (, ,) (INTJ (UH uh)))) (, ,) (-DFL- N_S)))",monomorphemic,no
104217:52,"and, of course, i get *-1 to watch all these movies like * look who *t*-2's talking and who *t*-4's, * look who *t*-3's talking, too",no,yes,no,embedded,no,,,,,,,,,who,*,,,,look,,,,,*t*-2,,'s,talking,,,,who,* look who *t*-2's talking,no,no,,(WP WHO),who *t*-2's talking,"(TOP (S (CC And) (, ,) (PP (IN of) (NP (NN course))) (, ,) (NP-SBJ-1 (PRP I)) (VP (VBP get) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB watch) (NP (NP (PDT all) (DT these) (NNS movies)) (PP (IN like) (NP (S-IMP-TTL (NP-SBJ (-NONE- *)) (VP (VB LOOK) (SBAR (WHNP-2 (WP WHO)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 'S) (VP (VBG TALKING))))))) (CC and) (EDITED (RM (-DFL- \[)) (SBAR (WHNP-4 (WP WHO)) (S (NP-SBJ (-NONE- *T*-4)) (VP-UNF (BES 'S)))) (, ,) (IP (-DFL- \+))) (S-IMP-TTL (NP-SBJ (-NONE- *)) (VP (VB LOOK) (SBAR (WHNP-3 (WP WHO)) (S (NP-SBJ (-NONE- *T*-3)) (VP (BES 'S) (RS (-DFL- \])) (VP (VBG TALKING) (, ,) (ADVP (RB TOO))))))))))))))) (-DFL- E_S)))",monomorphemic,no
26740:63,"i'm not even really sure *ich*-2 at this point in time, you know, what, what programs *t*-1 are out there.",no,yes,no,embedded,no,,,,yes,,,,,what,i,not,,'m,,,,,,*t*-1,,are,there,,,,,"i'm not even really sure *ich*-2 at this point in time, you know, what, what programs *t*-1 are out there.",no,no,,(WDT what),"what, what programs *t*-1 are out there","(TOP (S (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADVP (RB even)) (ADJP-PRD (RB really) (JJ sure) (SBAR (-NONE- *ICH*-2))) (PP-TMP (IN at) (NP (NP (DT this) (NN point)) (PP (IN in) (NP (NN time))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-2 (EDITED (RM (-DFL- \[)) (WHNP-UNF (WDT what)) (, ,) (IP (-DFL- \+))) (WHNP-1 (WDT what) (RS (-DFL- \])) (NNS programs)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (PP-PRD (IN out) (ADVP (RB there))))))) (. .) (-DFL- E_S)))",monomorphemic,no
173016:16,i don't know what you drive *t*-1 now.,no,yes,no,embedded,no,,,,yes,,,,,what,i,n't,,do,know,,,,,you,,drive,now,,,,,i don't know what you drive *t*-1 now.,no,no,,(WP what),what you drive *t*-1 now,(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP drive) (NP (-NONE- *T*-1)) (ADVP-TMP (RB now))))))) (. .) (-DFL- E_S))),monomorphemic,no
169144:66,"but, actually, you know, when you look at, at minneapolis as compared to where i used *-1 to live *t*-2 *t*-3, it's really quite a bit better. uh, because i came from florida",no,yes,no,embedded,no,,,yes,,,,,,where,you,,,,,,compared,,,i,,used,live,,,,where,"you look at, at minneapolis as compared to where i used *-1 to live *t*-2 *t*-3",no,no,,(WRB where),where i used *-1 to live *t*-2,"(TOP (S (CC But) (, ,) (ADVP (RB actually)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-TMP (WHADVP-3 (WRB when)) (S (NP-SBJ (PRP you)) (VP (VBP look) (EDITED (RM (-DFL- \[)) (PP-UNF (IN at)) (, ,) (IP (-DFL- \+))) (PP (IN at) (RS (-DFL- \])) (NP (NP (NNP Minneapolis)) (PP (IN as) (PP (VBN compared) (PP (IN to) (SBAR (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP I)) (VP (VBD used) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB live) (ADVP-LOC (-NONE- *T*-2))))))))))))) (ADVP-TMP (-NONE- *T*-3))))) (, ,) (NP-SBJ (PRP it)) (VP (BES 's) (ADVP (RB really)) (ADJP-PRD (NP-ADV (PDT quite) (DT a) (NN bit)) (JJR better)) (. .) (INTJ (UH Uh)) (, ,) (SBAR-PRP (IN because) (S (NP-SBJ (PRP I)) (VP (VBD came) (PP-DIR (IN from) (NP (NNP Florida))))))) (-DFL- E_S)))",monomorphemic,no
169893:18,i'm not real sure how i feel *t*-1 about it because i can see it from two ways.,no,yes,no,embedded,no,,,yes,yes,,,,,how,i,not,,,,sure,,,,i,,feel,,,,,how,i'm not real sure how i feel *t*-1 about it because i can see it from two ways.,no,no,,(WRB how),how i feel *t*-1 about it,(TOP (S (NP-SBJ (PRP I)) (VP (VBP 'm) (RB not) (ADJP-PRD (RB real) (JJ sure) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP I)) (VP (VBP feel) (ADVP-MNR (-NONE- *T*-1)) (PP (IN about) (NP (PRP it))))))) (SBAR-PRP (IN because) (S (NP-SBJ (PRP I)) (VP (MD can) (VP (VB see) (NP (PRP it)) (PP (IN from) (NP (CD two) (NNS ways)))))))) (. .) (-DFL- E_S))),monomorphemic,no
164808:75,and then we have a local rag here in town that i pick *t*-1 up periodically and read *t*-1 *-3 just to see what *t*-2's going on in our little community. because we don't get an awful lot of coverage in the dallas morning news.,no,yes,no,embedded,no,,,,yes,,,,,what,*-3,n't,,have,see,,,,,*t*-2,,'s,going,little,,,what,*-3 just to see what *t*-2's going on in our little community,no,no,,(WP what),what *t*-2's going on in our little community,(TOP (S (CONJP (CC And) (RB then)) (NP-SBJ (PRP we)) (VP (VBP have) (NP (NP (DT a) (JJ local) (NN rag)) (ADVP-LOC (RB here) (PP (IN in) (NP (NN town)))) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ-3 (PRP I)) (VP (VP (VBP pick) (NP (-NONE- *T*-1)) (PRT (RP up)) (ADVP-TMP (RB periodically))) (CC and) (VP (VBP read) (NP (-NONE- *T*-1)) (S-PRP (NP-SBJ (-NONE- *-3)) (ADVP (RB just)) (VP (TO to) (VP (VB see) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (VP (VBG going) (PRT (RP on)) (PP-LOC (IN in) (NP (PRP$ our) (JJ little) (NN community))))))))))) (. .) (SBAR-PRP (IN Because) (S (NP-SBJ (PRP we)) (VP (VBP do) (RB n't) (VP (VB get) (NP (NP (DT an) (JJ awful) (NN lot)) (PP (IN of) (NP (NN coverage)))) (PP-LOC (IN in) (NP (DT the) (NNP DALLAS) (NNP MORNING) (NNP NEWS)))))))))))) (. .) (-DFL- E_S))),monomorphemic,no
105071:22,but now i've gotten to where skiing is just kind of wears me out more than it does thrill me *t*-1.,no,yes,no,embedded,no,,,yes,,,,,more,where,i,,,,,,gotten,,,skiing,,is,just,kind,,,where,but now i've gotten to where skiing is just kind of wears me out more than it does thrill me *t*-1.,no,no,,(WRB where),where skiing is just kind of wears me out more than it does thrill me *t*-1,(TOP (S (CC but) (ADVP-TMP (RB now)) (NP-SBJ (PRP I)) (VP (VBP 've) (VP (VBN gotten) (PP (TO to) (SBAR (WHADVP-1 (WRB where)) (S (NP-SBJ (NN skiing)) (X (VBZ is)) (ADVP (RB just)) (ADVP (RB kind) (RB of)) (VP (VBZ wears) (NP (PRP me)) (PRT (RP out)) (ADVP (ADVP (RBR more)) (SBAR (IN than) (S (NP-SBJ (PRP it)) (VP (VBZ does) (VP (VB thrill) (NP (PRP me))))))) (ADVP (-NONE- *T*-1)))))))) (. .) (-DFL- E_S))),monomorphemic,no
165803:34,"now, i have, know exactly what i'm spending *t*-1",no,yes,no,embedded,no,,,,,,,,,what,i,,,,know,,,,,i,,'m,spending,,,,,"now, i have, know exactly what i'm spending *t*-1",no,no,,(WP what),what i'm spending *t*-1,"(TOP (S (ADVP-TMP (UH Now)) (, ,) (NP-SBJ (PRP I)) (EDITED (RM (-DFL- \[)) (VP-UNF (VBP have)) (, ,) (IP (-DFL- \+))) (VP (VBP know) (RS (-DFL- \])) (ADVP (RB exactly)) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP 'm) (VP (VBG spending) (NP (-NONE- *T*-1))))))) (-DFL- E_S)))",monomorphemic,no
95382:33,"either just the lucky or the unlucky one, depending on how you look at it *t*-1.",no,yes,no,embedded,no,,,yes,,,,,,how,,,,,,,depending,,,you,,look,,,,,how,,no,no,,(WRB how),how you look at it *t*-1,"(TOP (FRAG (NP (CC Either) (ADVP (RB just)) (NP (DT the) (JJ lucky)) (CC or) (NP (DT the) (JJ unlucky) (NN one))) (, ,) (PP (VBG depending) (PP (IN on) (SBAR-MNR (WHADVP-1 (WRB how)) (S (NP-SBJ (PRP you)) (VP (VBP look) (PP (IN at) (NP (PRP it))) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))",monomorphemic,no
170581:16,"i don't know how my, my parents did it *t*-1.",no,yes,no,embedded,no,,,yes,yes,,,,,how,i,n't,,do,know,,,,,my parents,,did,,,,,,"i don't know how my, my parents did it *t*-1.",no,no,,(WRB how),"how my, my parents did it *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (WHADVP-1 (WRB how)) (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP$ my)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP$ my) (RS (-DFL- \])) (NNS parents)) (VP (VBD did) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1))))))) (. .) (-DFL- E_S)))",monomorphemic,no
19512:11,nobody knows what * to do *t*-1.,no,no,no,embedded,no,,,,,,,,,what,nobody,,,,knows,,,,,*,,do,,,,,,nobody knows what * to do *t*-1.,no,no,,(WP what),what * to do *t*-1,(TOP (S (NP-SBJ (NN Nobody)) (VP (VBZ knows) (SBAR (WHNP-1 (WP what)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-1))))))) (. .) (-DFL- E_S))),monomorphemic,no
