"","workerid","proliferate.condition","order","response","slide_number_in_experiment","tgrep_id","catch_trials","subject_information.age","subject_information.asses","subject_information.comments","subject_information.education","subject_information.enjoyment","subject_information.fairprice","subject_information.gender","subject_information.language","system.Browser","system.OS","system.screenH","system.screenW","time_in_minutes","error","Sentence","HaveNeedTo","Finite","ModalPresent","QuestionType","DegreeQ","SubjectAuxInv","WhAll","MatrixNegPresent","EmbeddedNegPresent","QuantifiedSubject","QuantifiedPredicate","Wh","MatrixNegation","MatrixDoSupport","MatrixPred1","MatrixPred2","MatVerbPart","Modal","EmbeddedNegation","Verb1","Verb2","Verb3","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","DeterminerSubjPresent","DeterminerNonSubjPresent","WhNode","WhParse","Question","SentenceParse","WhPhaseType","IdentityQ"
"11",38,"condition1","a-the-all-some","['the', False]",13,"118088:9","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"uh, how do you feel about taxes *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","feel","","","","","no","no",NA,"(WRB how)","uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"12",38,"condition1","a-the-all-some","['a', True]",14,"103191:13","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","no","","yes","root","no","yes","","","","","","who","","","","","","will","","knows","hold","as","the future","the future","","no","no",NA,"(WP who)","but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"13",38,"condition1","a-the-all-some","['the', False]",15,"68569:4","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"where do you go *t*-1?","no","yes","no","root","no","yes","","","","","","where","","","","","","","","do","go","","","","","no","",NA,"(WRB Where)","where do you go *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB Where)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB go) (ADVP-DIR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"14",38,"condition1","a-the-all-some","['a', True]",16,"130644:22","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","no","yes","no","root","no","yes","","","","","gone","where","","","","","","","","have","gone","","","","","no","",NA,"(WRB where)","oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","(TOP (SBARQ (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (X (XX g-)) (, ,) (IP (-DFL- \+))) (WHADVP-1 (WHADVP (WRB where)) (SBAR (-NONE- *ICH*-3))) (SQ (VBP have) (NP-SBJ (PRP I)) (VP (VBN gone) (ADVP-DIR (-NONE- *T*-1)))) (RS (-DFL- \])) (SBAR-3 (WHNP-2 (DT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (ADVP-LOC-PRD (RB anywhere))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"15",38,"condition1","a-the-all-some","['the', False]",17,"61578:4","[]",41,"Yes","If I checked ""none of the above"" I was still forced to select one of the options to proceed, even if none of the options were right.  That was confusing.",4,1,1,"Other","English","Firefox","Linux",768,1366,6.99338333333333,NA,"how are your kids handling it *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","are","handling","","","","","no","no",NA,"(WRB How)","how are your kids handling it *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP are) (NP-SBJ (PRP$ your) (NNS kids)) (VP (VBG handling) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"16",34,"condition1","","['Patricia', 'Patricia']",1,"bot_check","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",34,"condition1","a-the-some-all","['all', False]",3,"example1","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",34,"condition1","a-the-some-all","['a', False]",4,"example2","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",34,"condition1","a-the-some-all","['all', False]",5,"example1","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",34,"condition1","a-the-some-all","['the', False]",6,"example4","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",34,"condition1","a-the-some-all","['a', False]",8,"103191:13","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","no","","yes","root","no","yes","","","","","","who","","","","","","will","","knows","hold","as","the future","the future","","no","no",NA,"(WP who)","but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"22",34,"condition1","a-the-some-all","['a', False]",9,"130644:22","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","no","yes","no","root","no","yes","","","","","gone","where","","","","","","","","have","gone","","","","","no","",NA,"(WRB where)","oh, g-, where *ich*-3 have i gone *t*-1 that *t*-2's anywhere.","(TOP (SBARQ (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (X (XX g-)) (, ,) (IP (-DFL- \+))) (WHADVP-1 (WHADVP (WRB where)) (SBAR (-NONE- *ICH*-3))) (SQ (VBP have) (NP-SBJ (PRP I)) (VP (VBN gone) (ADVP-DIR (-NONE- *T*-1)))) (RS (-DFL- \])) (SBAR-3 (WHNP-2 (DT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (BES 's) (ADVP-LOC-PRD (RB anywhere))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"23",34,"condition1","a-the-some-all","['a', False]",10,"40349:14","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"you know, how can you help *-1 depending on the day care center *t*-2, you know,","no","","yes","root","no","yes","","","","","","how","","","","","","can","","help","depending","know","","the day care center","","no","no",NA,"(WRB how)","you know, how can you help *-1 depending on the day care center *t*-2, you know,","(TOP (SBARQ (PRN (S (NP-SBJ (PRP You)) (VP (VBP know))) (, ,)) (WHADVP-2 (WRB how)) (SQ (MD can) (NP-SBJ-1 (PRP you)) (VP (VB help) (S (NP-SBJ (-NONE- *-1)) (VP (VBG depending) (PP (IN on) (NP (DT the) (NN day) (NN care) (NN center))) (ADVP-MNR (-NONE- *T*-2)))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"24",34,"condition1","a-the-some-all","['the', False]",11,"51293:9","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"uh, who's the last one *t*-1.","no","yes","no","root","no","yes","","","","one","","who","","","","","","","","'s","last","","the last one","","","yes","",NA,"(WP who)","uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))","monomorphemic","no"
"25",34,"condition1","a-the-some-all","['a', False]",12,"68569:4","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"where do you go *t*-1?","no","yes","no","root","no","yes","","","","","","where","","","","","","","","do","go","","","","","no","",NA,"(WRB Where)","where do you go *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB Where)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB go) (ADVP-DIR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"26",34,"condition1","a-the-some-all","['the', False]",13,"37508:7","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"well how do you think 0 the royals are going *-1 to do *t*-2?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","think","are","the royals","the royals","","no","no",NA,"(WRB how)","well how do you think 0 the royals are going *-1 to do *t*-2?","(TOP (SBARQ (INTJ (UH well)) (WHADVP-2 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ-1 (DT the) (NNPS Royals)) (VP (VBP are) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB do) (ADVP-MNR (-NONE- *T*-2))))))))))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"27",34,"condition1","a-the-some-all","['a', False]",14,"60430:4","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"who *t*-1 knows.","no","yes","no","root","no","yes","","","","","","who","","","","","","","","knows","","","","","","no","",NA,"(WP who)","who *t*-1 knows.","(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S)))","monomorphemic","no"
"28",34,"condition1","a-the-some-all","['the', False]",15,"102105:4","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"how do you usually find a, a new restaurant *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","usually","find","","a","","no","yes",NA,"(WRB How)","how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"29",34,"condition1","a-the-some-all","['the', False]",16,"61578:4","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"how are your kids handling it *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","are","handling","","","","","no","no",NA,"(WRB How)","how are your kids handling it *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP are) (NP-SBJ (PRP$ your) (NNS kids)) (VP (VBG handling) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"30",34,"condition1","a-the-some-all","['the', False]",17,"118088:9","[]",22,"Yes","",3,1,1,"Female","English","Chrome","Mac",900,1440,2.59275,NA,"uh, how do you feel about taxes *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","feel","","","","","no","no",NA,"(WRB how)","uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"31",33,"condition1","","['Patricia', 'Patricia']",1,"bot_check","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",33,"condition1","all-the-some-a","['a', False]",3,"example1","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"condition1","all-the-some-a","['all', False]",3,"example1","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",33,"condition1","all-the-some-a","['some', False]",4,"example2","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",33,"condition1","all-the-some-a","['all', False]",5,"example1","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",33,"condition1","all-the-some-a","['the', False]",6,"example4","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",33,"condition1","all-the-some-a","['the', False]",8,"68569:4","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"where do you go *t*-1?","no","yes","no","root","no","yes","","","","","","where","","","","","","","","do","go","","","","","no","",NA,"(WRB Where)","where do you go *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB Where)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB go) (ADVP-DIR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"38",33,"condition1","all-the-some-a","['all', True]",9,"103191:13","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","no","","yes","root","no","yes","","","","","","who","","","","","","will","","knows","hold","as","the future","the future","","no","no",NA,"(WP who)","but, uh, who *t*-1 knows what the future will hold *t*-2. uh, as far as energy goes,","(TOP (SBARQ (CC But) (, ,) (INTJ (UH uh)) (, ,) (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows) (SBAR (WHNP-2 (WP what)) (S (NP-SBJ (DT the) (NN future)) (VP (MD will) (VP (VB hold) (NP (-NONE- *T*-2)) (. .) (INTJ (UH Uh)) (, ,) (ADVP (ADVP (RB as) (RB far)) (SBAR (IN as) (S (NP-SBJ (NN energy)) (VP (VBZ goes))))))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"39",33,"condition1","all-the-some-a","['all', False]",10,"60430:4","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"who *t*-1 knows.","no","yes","no","root","no","yes","","","","","","who","","","","","","","","knows","","","","","","no","",NA,"(WP who)","who *t*-1 knows.","(TOP (SBARQ (WHNP-1 (WP who)) (SQ (NP-SBJ (-NONE- *T*-1)) (VP (VBZ knows))) (. .) (-DFL- E_S)))","monomorphemic","no"
"40",33,"condition1","all-the-some-a","['a', False]",11,"61578:4","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"how are your kids handling it *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","are","handling","","","","","no","no",NA,"(WRB How)","how are your kids handling it *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP are) (NP-SBJ (PRP$ your) (NNS kids)) (VP (VBG handling) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"41",33,"condition1","all-the-some-a","['the', False]",12,"102105:4","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"how do you usually find a, a new restaurant *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","usually","find","","a","","no","yes",NA,"(WRB How)","how do you usually find a, a new restaurant *t*-1?","(TOP (SBARQ (WHADVP-1 (WRB How)) (SQ (VBP do) (NP-SBJ (PRP you)) (ADVP-TMP (RB usually)) (VP (VB find) (EDITED (RM (-DFL- \[)) (NP-UNF (DT a)) (, ,) (IP (-DFL- \+))) (NP (DT a) (RS (-DFL- \])) (JJ new) (NN restaurant)) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"42",33,"condition1","all-the-some-a","['the', False]",13,"51293:9","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"uh, who's the last one *t*-1.","no","yes","no","root","no","yes","","","","one","","who","","","","","","","","'s","last","","the last one","","","yes","",NA,"(WP who)","uh, who's the last one *t*-1.","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHNP-1 (WP who)) (SQ (BES 's) (NP-SBJ (DT the) (JJ last) (NN one)) (NP-PRD (-NONE- *T*-1))) (. .) (-DFL- E_S)))","monomorphemic","no"
"43",33,"condition1","all-the-some-a","['the', False]",14,"118088:9","[]",19,"Yes","",2,0,1,"Female","English","Chrome","Windows",864,1536,9.55961666666667,NA,"uh, how do you feel about taxes *t*-1?","no","yes","no","root","no","yes","","","","","","how","","","","","","","","do","feel","","","","","no","no",NA,"(WRB how)","uh, how do you feel about taxes *t*-1?","(TOP (SBARQ (INTJ (UH Uh)) (, ,) (WHADVP-1 (WRB how)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB feel) (PP (IN about) (NP (NNS taxes))) (ADVP-MNR (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
